"DATE","TITLE","ACTIVITY"
"Jan 28, 2017 02:16","Part 3a - Statement of Transfers to a Registered Party, Another Registered Association, a Candidate, a Leadership Contestant or a Nomination Contestant",""

GROUP_DATA
"Client_id","Registered_association","Fiscal_period",
"12037","Abbotsford Conservative Association","2007",
"14020","Abbotsford Conservative Association","2008",
"17309","Abbotsford Conservative Association","2009",
"18978","Abbotsford Conservative Association","2010",
"20521","Abbotsford Conservative Association","2011",
"23793","Abbotsford Conservative Association","2012",
"25206","Abbotsford Conservative Association","2013",
"26692","Abbotsford Conservative Association","2014",
"27650","Abbotsford Conservative Electoral District Association","2014",
"12440","Abbotsford Federal Liberal Association","2007",
"14419","Abbotsford Federal Liberal Association","2008",
"17708","Abbotsford Federal Liberal Association","2009",
"19377","Abbotsford Federal Liberal Association","2010",
"20913","Abbotsford Federal Liberal Association","2011",
"24182","Abbotsford Federal Liberal Association","2012",
"25588","Abbotsford Federal Liberal Association","2013",
"27525","Abbotsford Federal Liberal Association","2014",
"27073","Abbotsford Federal Liberal Association","2014",
"11960","Abbotsford Federal NDP Riding Association","2007",
"13943","Abbotsford Federal NDP Riding Association","2008",
"17233","Abbotsford Federal NDP Riding Association","2009",
"18902","Abbotsford Federal NDP Riding Association","2010",
"20448","Abbotsford Federal NDP Riding Association","2011",
"23720","Abbotsford Federal NDP Riding Association","2012",
"25133","Abbotsford Federal NDP Riding Association","2013",
"26619","Abbotsford Federal NDP Riding Association","2014",
"17966","Abbotsford Green Party of Canada Electoral District Association","2009",
"19620","Abbotsford Green Party of Canada Electoral District Association","2010",
"21126","Abbotsford Green Party of Canada Electoral District Association","2011",
"24381","Abbotsford Green Party of Canada Electoral District Association","2012",
"25782","Abbotsford Green Party of Canada Electoral District Association","2013",
"27256","Abbotsford Green Party of Canada Electoral District Association","2014",
"12523","Abbotsford PMP Electoral District Association","2007",
"14501","Abbotsford PMP Electoral District Association","2008",
"17787","Abbotsford PMP Electoral District Association","2009",
"12063","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","2007",
"14046","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","2008",
"17335","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","2009",
"19004","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","2010",
"20547","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","2011",
"23819","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","2012",
"25232","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","2013",
"26718","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","2014",
"27553","Abitibi--Baie-James--Nunavik--Eeyou Federal Liberal Association","2014",
"27538","Abitibi--Témiscamingue Federal Liberal Association","2014",
"11996","Acadie--Bathurst Conservative Association","2007",
"13979","Acadie--Bathurst Conservative Association","2008",
"17268","Acadie--Bathurst Conservative Association","2009",
"18937","Acadie--Bathurst Conservative Association","2010",
"20480","Acadie--Bathurst Conservative Association","2011",
"23752","Acadie--Bathurst Conservative Association","2012",
"25165","Acadie--Bathurst Conservative Association","2013",
"26651","Acadie--Bathurst Conservative Association","2014",
"11507","Acadie--Bathurst Federal Liberal Association","2007",
"13492","Acadie--Bathurst Federal Liberal Association","2008",
"16782","Acadie--Bathurst Federal Liberal Association","2009",
"18451","Acadie--Bathurst Federal Liberal Association","2010",
"20010","Acadie--Bathurst Federal Liberal Association","2011",
"23285","Acadie--Bathurst Federal Liberal Association","2012",
"24706","Acadie--Bathurst Federal Liberal Association","2013",
"26201","Acadie--Bathurst Federal Liberal Association","2014",
"11672","Acadie--Bathurst Federal NDP Riding Association","2007",
"13656","Acadie--Bathurst Federal NDP Riding Association","2008",
"16946","Acadie--Bathurst Federal NDP Riding Association","2009",
"18614","Acadie--Bathurst Federal NDP Riding Association","2010",
"20166","Acadie--Bathurst Federal NDP Riding Association","2011",
"23441","Acadie--Bathurst Federal NDP Riding Association","2012",
"24859","Acadie--Bathurst Federal NDP Riding Association","2013",
"26347","Acadie--Bathurst Federal NDP Riding Association","2014",
"11817","Ahuntsic Federal Liberal Association","2007",
"13801","Ahuntsic Federal Liberal Association","2008",
"17091","Ahuntsic Federal Liberal Association","2009",
"18759","Ahuntsic Federal Liberal Association","2010",
"20310","Ahuntsic Federal Liberal Association","2011",
"23582","Ahuntsic Federal Liberal Association","2012",
"24997","Ahuntsic Federal Liberal Association","2013",
"26484","Ahuntsic Federal Liberal Association","2014",
"11922","Ahuntsic Federal NDP Riding Association","2007",
"13906","Ahuntsic Federal NDP Riding Association","2008",
"17196","Ahuntsic Federal NDP Riding Association","2009",
"18864","Ahuntsic Federal NDP Riding Association","2010",
"20414","Ahuntsic Federal NDP Riding Association","2011",
"23686","Ahuntsic Federal NDP Riding Association","2012",
"25101","Ahuntsic Federal NDP Riding Association","2013",
"26588","Ahuntsic Federal NDP Riding Association","2014",
"27424","Ahuntsic--Cartierville Federal Liberal Association","2014",
"27376","Ajax Federal Liberal Association","2014",
"12110","Ajax--Pickering Conservative Association","2007",
"14093","Ajax--Pickering Conservative Association","2008",
"17382","Ajax--Pickering Conservative Association","2009",
"19051","Ajax--Pickering Conservative Association","2010",
"20593","Ajax--Pickering Conservative Association","2011",
"23865","Ajax--Pickering Conservative Association","2012",
"25278","Ajax--Pickering Conservative Association","2013",
"26764","Ajax--Pickering Conservative Association","2014",
"12193","Ajax--Pickering Federal Liberal Association","2007",
"14176","Ajax--Pickering Federal Liberal Association","2008",
"17465","Ajax--Pickering Federal Liberal Association","2009",
"19134","Ajax--Pickering Federal Liberal Association","2010",
"20675","Ajax--Pickering Federal Liberal Association","2011",
"23947","Ajax--Pickering Federal Liberal Association","2012",
"25359","Ajax--Pickering Federal Liberal Association","2013",
"26845","Ajax--Pickering Federal Liberal Association","2014",
"12439","Ajax--Pickering Federal NDP Riding Association","2007",
"14418","Ajax--Pickering Federal NDP Riding Association","2008",
"17707","Ajax--Pickering Federal NDP Riding Association","2009",
"19376","Ajax--Pickering Federal NDP Riding Association","2010",
"20912","Ajax--Pickering Federal NDP Riding Association","2011",
"24181","Ajax--Pickering Federal NDP Riding Association","2012",
"25587","Ajax--Pickering Federal NDP Riding Association","2013",
"27072","Ajax--Pickering Federal NDP Riding Association","2014",
"27539","Alfred-Pellan Federal Liberal Association","2014",
"11898","Alfred-Pellan Federal NDP Riding Association","2007",
"13882","Alfred-Pellan Federal NDP Riding Association","2008",
"17172","Alfred-Pellan Federal NDP Riding Association","2009",
"18840","Alfred-Pellan Federal NDP Riding Association","2010",
"20391","Alfred-Pellan Federal NDP Riding Association","2011",
"23663","Alfred-Pellan Federal NDP Riding Association","2012",
"25078","Alfred-Pellan Federal NDP Riding Association","2013",
"26565","Alfred-Pellan Federal NDP Riding Association","2014",
"12401","Algoma--Manitoulin--Kapuskasing Conservative Association","2007",
"14380","Algoma--Manitoulin--Kapuskasing Conservative Association","2008",
"17669","Algoma--Manitoulin--Kapuskasing Conservative Association","2009",
"19338","Algoma--Manitoulin--Kapuskasing Conservative Association","2010",
"20875","Algoma--Manitoulin--Kapuskasing Conservative Association","2011",
"24145","Algoma--Manitoulin--Kapuskasing Conservative Association","2012",
"25551","Algoma--Manitoulin--Kapuskasing Conservative Association","2013",
"27036","Algoma--Manitoulin--Kapuskasing Conservative Association","2014",
"11590","Algoma--Manitoulin--Kapuskasing Federal Liberal Association","2007",
"13575","Algoma--Manitoulin--Kapuskasing Federal Liberal Association","2008",
"16865","Algoma--Manitoulin--Kapuskasing Federal Liberal Association","2009",
"18533","Algoma--Manitoulin--Kapuskasing Federal Liberal Association","2010",
"20089","Algoma--Manitoulin--Kapuskasing Federal Liberal Association","2011",
"23364","Algoma--Manitoulin--Kapuskasing Federal Liberal Association","2012",
"24783","Algoma--Manitoulin--Kapuskasing Federal Liberal Association","2013",
"26271","Algoma--Manitoulin--Kapuskasing Federal Liberal Association","2014",
"11661","Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","2007",
"13645","Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","2008",
"16935","Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","2009",
"18603","Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","2010",
"20155","Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","2011",
"23430","Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","2012",
"24848","Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","2013",
"26336","Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","2014",
"12615","Algoma--Manitoulin--Kapuskasing Green Party Federal Electoral District Association","2007",
"14590","Algoma--Manitoulin--Kapuskasing Green Party Federal Electoral District Association","2008",
"17867","Algoma--Manitoulin--Kapuskasing Green Party Federal Electoral District Association","2009",
"12305","Ancaster--Dundas--Flamborough--Westdale Conservative Association","2007",
"14285","Ancaster--Dundas--Flamborough--Westdale Conservative Association","2008",
"17574","Ancaster--Dundas--Flamborough--Westdale Conservative Association","2009",
"19243","Ancaster--Dundas--Flamborough--Westdale Conservative Association","2010",
"20783","Ancaster--Dundas--Flamborough--Westdale Conservative Association","2011",
"24054","Ancaster--Dundas--Flamborough--Westdale Conservative Association","2012",
"25463","Ancaster--Dundas--Flamborough--Westdale Conservative Association","2013",
"26948","Ancaster--Dundas--Flamborough--Westdale Conservative Association","2014",
"11948","Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association","2007",
"13930","Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association","2008",
"17220","Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association","2009",
"18888","Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association","2010",
"20436","Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association","2011",
"23708","Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association","2012",
"25122","Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association","2013",
"26608","Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association","2014",
"12286","Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","2007",
"14266","Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","2008",
"17555","Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","2009",
"19224","Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","2010",
"20764","Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","2011",
"24036","Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","2012",
"25446","Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","2013",
"26931","Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","2014",
"11658","Ancaster--Dundas--Flamborough--Westdale Federal NDP Riding Association","2007",
