"DATE","TITLE","ACTIVITY"
"Jan 28, 2017 02:31","Part 2d - Statement of Transfers Received",""

GROUP_DATA
"Client_id","Registered_association","Fiscal_year_end"
"31387","Abbotsford Conservative Association","2015"
"32246","Abbotsford Conservative Electoral District Association","2015"
"31857","Abbotsford Federal Green Party Association","2015"
"32113","Abbotsford Federal Liberal Association","2015"
"31321","Abbotsford Federal NDP Riding Association","2015"
"32349","Abbotsford Marijuana Party (AMP)","2015"
"31410","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","2015"
"32141","Abitibi--Baie-James--Nunavik--Eeyou Federal Liberal Association","2015"
"31446","Abitibi--Témiscamingue Conservative Association","2015"
"32126","Abitibi--Témiscamingue Federal Liberal Association","2015"
"31353","Acadie--Bathurst Conservative Association","2015"
"32399","Acadie--Bathurst Federal Green Party Association","2015"
"31011","Acadie--Bathurst Federal Liberal Association","2015"
"31087","Acadie--Bathurst Federal NDP Riding Association","2015"
"31684","Ahuntsic-Cartierville Conservative Association","2015"
"32012","Ahuntsic--Cartierville Federal Liberal Association","2015"
"31448","Ajax Conservative Association","2015"
"31960","Ajax Federal Liberal Association","2015"
"31694","Ajax Federal NDP Riding Association","2015"
"31884","Alfred-Pellan Conservative Association","2015"
"32127","Alfred-Pellan Federal Liberal Association","2015"
"31678","Algoma--Manitoulin--Kapuskasing Conservative Association","2015"
"31050","Algoma--Manitoulin--Kapuskasing Federal Liberal Association","2015"
"31076","Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","2015"
"31600","Ancaster--Dundas--Flamborough--Westdale Conservative Association","2015"
"31590","Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","2015"
"32013","Argenteuil--La Petite-Nation Federal Liberal Association","2015"
"31733","Association Bloc Québécois Shefford","2015"
"31344","Association conservatrice de Vaudreuil--Soulanges","2015"
"31029","Association de circonscription du Bloc Québécois de Gatineau","2015"
"31751","Association de circonscription NPD de Bécancour--Nicolet--Saurel","2015"
"31761","Association de circonscription NPD de Drummond","2015"
"31710","Association de circonscription NPD de Repentigny","2015"
"31798","Association de Richmond--Arthabaska du Parti Vert du Canada","2015"
"31757","Association d'Outremont du Parti Vert du Canada","2015"
"31026","Association du Bloc Québécois d'Argenteuil--Papineau--Mirabel","2015"
"31038","Association du Bloc Québécois de Charlesbourg--Haute-Saint-Charles","2015"
"31025","Association du Bloc Québécois de Laurier--Sainte-Marie","2015"
"31031","Association du Bloc Québécois de Rosemont--La Petite-Patrie","2015"
"31514","Association du Bloc Québécois LaSalle--Émard--Verdun","2015"
"31595","Association du Bloc Québécois Laurentides--Labelle","2015"
"31491","Association du Parti conservateur Argenteuil--Papineau--Mirabel","2015"
"32343","Association du Parti conservateur d'Argenteuil--La Petite-Nation","2015"
"31497","Association du Parti conservateur d'Avignon--La Mitis--Matane--Matapédia","2015"
"31442","Association du Parti conservateur de Beauce","2015"
"31478","Association du Parti conservateur de Bécancour--Nicolet--Saurel","2015"
"31461","Association du Parti conservateur Drummond","2015"
"31447","Association du Parti conservateur Jonquière--Alma","2015"
"31439","Association du Parti conservateur LaSalle--Émard","2015"
"31438","Association du Parti conservateur Laurentides--Labelle","2015"
"31480","Association du Parti conservateur Laval","2015"
"31582","Association du Parti conservateur Montcalm","2015"
"31498","Association du Parti conservateur Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","2015"
"31413","Association du Parti conservateur Notre-Dame-de-Grâce--Lachine","2015"
"31538","Association du Parti conservateur Portneuf--Jacques-Cartier","2015"
"31494","Association du Parti conservateur Rimouski-Neigette--Témiscouata--Les Basques","2015"
"31499","Association du Parti conservateur Roberval--Lac-Saint-Jean","2015"
"31658","Association du Parti conservateur Terrebonne--Blainville","2015"
"31667","Association du Parti conservateur Verchères--Les Patriotes","2015"
"31647","Association du Parti Vert du Canada Ahuntsic-Cartierville","2015"
"31808","Association du Parti Vert du Canada de Gatineau","2015"
"31768","Association du Parti vert du Canada de La Prairie","2015"
"32354","Association du Parti Vert du Canada de Laurier--Sainte-Marie","2015"
"34443","Association du Parti Vert du Canada de Laurier--Sainte-Marie","2016"
"31766","Association du Parti vert du Canada de Montarville","2015"
"31844","Association du Parti vert du Canada de Mont-Royal","2015"
"32353","Association du Parti Vert du Canada de Notre-Dame-de-Grâce--Westmount","2015"
"32401","Association du Parti vert du Canada de Pierre-Boucher--Les Patriotes--Verchères","2015"
"31880","Association du Parti vert du Canada de Rivière-du-Nord","2015"
"31756","Association du Parti vert du Canada de Vaudreuil--Soulanges","2015"
"31859","Association du Parti Vert du Canada Louis-Hébert","2015"
"31202","Association libérale fédérale d'Abitibi--Baie-James--Nunavik--Eeyou","2015"
"31815","Association libérale fédérale d'Alfred-Pellan","2015"
"31593","Association libérale fédérale d'Argenteuil--Papineau--Mirabel","2015"
"32312","Association libérale fédérale de Bécancour--Nicolet--Saurel","2015"
"31002","Association libérale fédérale de Chambly--Borduas","2015"
"32307","Association libérale fédérale de Drummond","2015"
"31190","Association libérale fédérale de La Pointe-de-l'Île","2015"
"32308","Association libérale fédérale de Laurentides--Labelle","2015"
"31004","Association libérale fédérale de Mégantic--L'Érable","2015"
"31885","Association libérale fédérale de Montcalm","2015"
"32313","Association libérale fédérale de Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","2015"
"31489","Association libérale fédérale de Papineau","2015"
"32311","Association libérale fédérale de Portneuf--Jacques-Cartier","2015"
"31591","Association libérale fédérale de Rivière-du-Nord","2015"
"31487","Association libérale fédérale de Saint-Bruno--Saint-Hubert","2015"
"32314","Association libérale fédérale de Saint-Jean","2015"
"31765","Association NPD Abitibi--Témiscamingue","2015"
"31786","Association NPD Argenteuil--La Petite-Nation","2015"
"31874","Association NPD Beauce","2015"
"31754","Association NPD Beauport--Limoilou","2015"
"31711","Association NPD Berthier--Maskinongé","2015"
"31674","Association NPD Bourassa","2015"
"31654","Association NPD Brome--Missisquoi","2015"
"31753","Association NPD Charlesbourg--Haute-Saint-Charles","2015"
"31736","Association NPD Châteauguay--Lacolle","2015"
"31764","Association NPD de Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix","2015"
"31543","Association NPD Lac-Saint-Jean","2015"
"31793","Association NPD Louis-Saint-Laurent","2015"
"31731","Association NPD Marc-Aurèle-Fortin","2015"
"31519","Association NPD Mégantic--L'Érable","2015"
"31830","Association NPD Montcalm","2015"
"31729","Association NPD Pierre-Boucher--Les Patriotes--Verchères","2015"
"31791","Association NPD Rivière-du-Nord","2015"
"31784","Association NPD Saint-Maurice--Champlain","2015"
"31792","Association NPD Terrebonne","2015"
"32221","Aurora--Oak Ridges--Richmond Hill Conservative Association","2015"
"32044","Aurora--Oak Ridges--Richmond Hill Federal Liberal Association","2015"
"32388","Aurora--Oak Ridges--Richmond Hill Federal NDP","2015"
"31899","Avalon Conservative Association","2015"
"31179","Avalon Federal Liberal Association","2015"
"31279","Avalon Federal NDP Riding Association","2015"
"31947","Avignon--La Mitis--Matane--Matapédia Federal Liberal Association","2015"
"32235","Banff--Airdrie Conservative Association","2015"
"31797","Banff--Airdrie Federal Green Party Association","2015"
"32111","Banff--Airdrie Federal Liberal Association","2015"
"31299","Banff--Airdrie Federal NDP Riding Association","2015"
"31051","Barrie Federal Liberal Association","2015"
"32290","Barrie--Innisfil Conservative Electoral District Association","2015"
"32389","Barrie--Innisfil Federal Green Party Association","2015"
"32035","Barrie--Innisfil Federal Liberal Association","2015"
"31517","Barrie--Innisfil Federal NDP Riding Association","2015"
"32304","Barrie--Springwater--Oro-Medonte Conservative Association","2015"
"31252","Barrie--Springwater--Oro-Medonte Federal Green Party Association","2015"
"32053","Barrie--Springwater--Oro-Medonte Federal Liberal Association","2015"
"32358","Barrie--Springwater--Oro-Medonte NDP Riding Association","2015"
"32236","Battle River--Crowfoot Conservative Association","2015"
"32199","Battle River--Crowfoot Federal Liberal Association","2015"
"31250","Battle River--Crowfoot Federal NDP Riding Association","2015"
"31357","Battlefords--Lloydminster Conservative Association","2015"
"31184","Battlefords--Lloydminster Federal Liberal Association","2015"
"31257","Battlefords--Lloydminster Federal NDP Riding Association","2015"
"32268","Bay of Quinte Conservative Association","2015"
"32084","Bay of Quinte Federal Liberal Association","2015"
"31122","Bay of Quinte Federal NDP Riding Association","2015"
"31610","Beaches--East York Conservative Association","2015"
"31891","Beaches--East York Federal Green Party Association","2015"
"32316","Beaches--East York Federal Liberal Association","2015"
"31078","Beaches--East York Federal NDP Riding Association","2015"
"32128","Beauce Federal Liberal Association","2015"
"31536","Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix Conservative Association","2015"
"32020","Beauport-Côte-de-Beaupré-Île d’Orléans-Charlevoix Federal Liberal Association","2015"
"31495","Beauport--Limoilou Conservative Association","2015"
"32131","Beauport--Limoilou Federal Liberal Association","2015"
"31534","Beauséjour Conservative Association","2015"
"31012","Beauséjour Federal Liberal Association","2015"
"31672","Beauséjour Federal NDP Riding Association","2015"
"31434","Bellechasse--Les Etchemins--Lévis Conservative Association","2015"
"32130","Bellechasse--Les Etchemins--Lévis Federal Liberal Association","2015"
"31685","Beloeil--Chambly Conservative Association","2015"
"32019","Beloeil--Chambly Federal Liberal Association","2015"
"31417","Berthier--Maskinongé Conservative Association","2015"
"32015","Berthier--Maskinongé Federal Liberal Association","2015"
"31001","Berthier--Maskinongé Federal Liberal Association","2015"
