"DATE","TITLE","ACTIVITY"
"Jan 14, 2017 07:37","Part 2d - Statement of Contributions Received - Contributions from Associations",""

GROUP_DATA
"Client_id","Fiscal_period","Registered_association",
"2737","2004","Abbotsford Conservative Association",
"6648","2005","Abbotsford Conservative Association",
"10383","2006","Abbotsford Conservative Association",
"3344","2004","Abbotsford Federal Liberal Association",
"7056","2005","Abbotsford Federal Liberal Association",
"10790","2006","Abbotsford Federal Liberal Association",
"3624","2004","Abbotsford Federal NDP Riding Association",
"6568","2005","Abbotsford Federal NDP Riding Association",
"10303","2006","Abbotsford Federal NDP Riding Association",
"10876","2006","Abbotsford PMP Electoral District Association",
"3268","2004","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association",
"6674","2005","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association",
"10409","2006","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association",
"2893","2004","Acadie--Bathurst Conservative Association",
"6607","2005","Acadie--Bathurst Conservative Association",
"10342","2006","Acadie--Bathurst Conservative Association",
"3596","2004","Acadie--Bathurst Federal Liberal Association",
"6109","2005","Acadie--Bathurst Federal Liberal Association",
"9846","2006","Acadie--Bathurst Federal Liberal Association",
"3210","2004","Acadie--Bathurst Federal NDP Riding Association",
"6274","2005","Acadie--Bathurst Federal NDP Riding Association",
"10011","2006","Acadie--Bathurst Federal NDP Riding Association",
"3607","2004","Ahuntsic Federal Liberal Association",
"6420","2005","Ahuntsic Federal Liberal Association",
"10157","2006","Ahuntsic Federal Liberal Association",
"3213","2004","Ahuntsic Federal NDP Riding Association",
"6528","2005","Ahuntsic Federal NDP Riding Association",
"10265","2006","Ahuntsic Federal NDP Riding Association",
"2848","2004","Ajax--Pickering Conservative Association",
"6721","2005","Ajax--Pickering Conservative Association",
"10456","2006","Ajax--Pickering Conservative Association",
"2932","2004","Ajax--Pickering Federal Liberal Association",
"6805","2005","Ajax--Pickering Federal Liberal Association",
"10540","2006","Ajax--Pickering Federal Liberal Association",
"3956","2004","Ajax--Pickering Federal NDP Riding Association",
"7055","2005","Ajax--Pickering Federal NDP Riding Association",
"10789","2006","Ajax--Pickering Federal NDP Riding Association",
"3548","2004","Alfred-Pellan Federal Liberal Association",
"6367","2005","Alfred-Pellan Federal Liberal Association",
"10104","2006","Alfred-Pellan Federal Liberal Association",
"3184","2004","Alfred-Pellan Federal NDP Riding Association",
"6501","2005","Alfred-Pellan Federal NDP Riding Association",
"10238","2006","Alfred-Pellan Federal NDP Riding Association",
"3941","2004","Algoma--Manitoulin--Kapuskasing Conservative Association",
"7017","2005","Algoma--Manitoulin--Kapuskasing Conservative Association",
