"DATE","TITLE","ACTIVITY"
"Jan 14, 2017 07:56","Part 2i - Summary of Contributions and Transfers Received",""

SUMMARY_DATA
"Client_id","Registered_association","Fiscal_period","Total_monetary_contributions-Contributions_from_individuals","Total_non-monetary_contributions-Contributions_from_individuals","Total_contributions-Contributions_from_individuals","Total_number_of_contributors-Contributions_from_individuals","Total_monetary_contributions-Contributions_from_corporations","Total_non-monetary_contributions-Contributions_from_corporations","Total_contributions-Contributions_from_corporations","Total_number_of_contributors-Contributions_from_corporations","Total_monetary_contributions-Contributions_from_trade_unions","Total_non-monetary_contributions-Contributions_from_trade_unions","Total_contributions-Contributions_from_trade_unions","Total_number_of_contributors-Contributions_from_trade_unions","Total_monetary_contributions-Contributions_from_associations","Total_contributions-Contributions_from_associations","Total_number_of_contributors-Contributions_from_associations","Total_monetary_contributions-Total_of_all_contributions","Total_non-monetary_contributions-Total_of_all_contributions","Total_contributions-Total_of_all_contributions","Total_number_of_contributions-Total_of_all_contributions","Total_monetary_transfers-Transfers_received_from_registered_parties","Total_non-monetary_transfers-Transfers_received_from_registered_parties","Total_transfers-Transfers_received_from_registered_parties","Total_monetary_transfers-Transfers_received_from_registered_associations","Total_non-monetary_transfers-Transfers_received_from_registered_associations","Total_transfers-Transfers_received_from_registered_associations","Total_monetary_transfers-Transfers_received_from_candidates","Total_non-monetary_transfers-Transfers_received_from_candidates","Total_transfers-Transfers_received_from_candidates","Total_monetary_transfers-Transfers_received_from_leadership_contestants","Total_transfers-Transfers_received_from_leadership_contestants","Total_monetary_transfers-Transfers_received_from_nomination_contestants","Total_transfers-Transfers_received_from_nomination_contestants","Total_monetary_transfers-Total_transfers_received","Total_non-monetary_transfers-Total_transfers_received","Total_transfers-Total_transfers_received","Total_monetary_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received","Total_non-monetary_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received","Total_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received"
"2737","Abbotsford Conservative Association","2004","31252.42","","","","4000","","","","","","","","3081.11","","","","","","","","","","","","","","","","","","","","","","","38333.53","",""
"6648","Abbotsford Conservative Association","2005","26088.18","","26088.18","188","680","","680","3","","","","","","","","26768.18","","26768.18","191","46836","","46836","","","","","","","","","","","46836","","46836","73604.18","","73604.18"
"10383","Abbotsford Conservative Association","2006","19931","0","19931","158","0","0","0","0","0","0","0","0","0","0","0","19931","0","19931","158","15774","0","15774","0","0","0","75058","0","75058","0","0","0","0","90832","0","90832","110763","0","110763"
"3344","Abbotsford Federal Liberal Association","2004","23991.16","","23991.16","247","5854.92","","5854.92","27","","","0","0","","","0","29846.08","0","29846.08","274","1640","","1640","1218.14","","1218.14","","","0","","0","","0","2858.14","0","2858.14","32704.22","0","32704.22"
"7056","Abbotsford Federal Liberal Association","2005","","","0","0","200","","200","1","","","0","0","","","0","200","0","200","1","580","","580","","","0","3374.59","","3374.59","","0","","0","3954.59","0","3954.59","4154.59","0","4154.59"
"10790","Abbotsford Federal Liberal Association","2006","275.41","0","275.41","2","0","0","0","0","0","0","0","0","0","0","0","275.41","0","275.41","2","535","0","535","0","0","0","0","0","0","0","0","0","0","535","0","535","810.41","0","810.41"
"3624","Abbotsford Federal NDP Riding Association","2004","7200.94","","7200.94","171","","","0","0","","","0","0","","","0","7200.94","0","7200.94","171","735.29","","735.29","313.19","","313.19","67.33","","67.33","","0","","0","1115.81","0","1115.81","8316.75","0","8316.75"
"6568","Abbotsford Federal NDP Riding Association","2005","3189.35","","3189.35","20","","","0","0","","","0","0","","","0","3189.35","0","3189.35","20","837.59","","837.59","298.62","","298.62","","","0","","0","","0","1136.21","0","1136.21","4325.56","0","4325.56"
"10303","Abbotsford Federal NDP Riding Association","2006","3093.21","12.49","3105.7","96","0","0","0","0","0","0","0","0","0","0","0","3093.21","12.49","3105.7","96","0","0","0","0","0","0","145.81","0","145.81","0","0","0","0","145.81","0","145.81","3239.02","12.49","3251.51"
"10876","Abbotsford PMP Electoral District Association","2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3268","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6674","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10409","Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2893","Acadie--Bathurst Conservative Association","2004","1805","","1805","17","1050","","1050","4","","","","","","","","2855","","2855","21","4994.69","","4994.69","","","","","","","","","","","4994.69","","4994.69","7849.69","","7849.69"
"6607","Acadie--Bathurst Conservative Association","2005","","","","","","","","","","","","","","","","","","","","845","","845","","","","38990.94","","38990.94","","","","","39150.94","","39150.94","39310.94","0","39310.94"
"10342","Acadie--Bathurst Conservative Association","2006","","","","","","","","","","","","","","","","","","","","1825.91","","","","","","14580.32","","","","","","","16406.23","","","16406.23","",""
"3596","Acadie--Bathurst Federal Liberal Association","2004","5300","","5300","32","10500","","10500","51","","","","","","","","15800","","15800","83","","","","9528","","9528","75027.91","","75027.91","","","","","84555.91","","84555.91","100355.91","","100355.91"
"6109","Acadie--Bathurst Federal Liberal Association","2005","10100","","10100","59","25150","","25150","81","","","","","","","","35250","","35250","140","","","","3900","","3900","","","","","","","","3900","","3900","39100","","39100"
"9846","Acadie--Bathurst Federal Liberal Association","2006","11850","","11850","95","26545","","26545","93","","","","","","","","38395","","38395","188","","","","","","","","","","","","","","","","","38395","","38395"
"3210","Acadie--Bathurst Federal NDP Riding Association","2004","1125.66","","1125.66","11","","","","","","","","","","","","1125.66","","1125.66","11","","","","","","","","","","","","","","0","","","1125.66","0","1125.66"
"6274","Acadie--Bathurst Federal NDP Riding Association","2005","2000","","2000","11","100","","100","1","","","","","","","","2100","","2100","12","8500.26","","8500.26","","","","","","","","","","","8500.26","","8500.26","10600.26","","10600.26"
"10011","Acadie--Bathurst Federal NDP Riding Association","2006","950","","950","6","300","","300","1","","","","","","","","1250","","1250","7","721.51","","721.51","","","","","","","","","","","721.51","","721.51","1971.51","","1971.51"
"3607","Ahuntsic Federal Liberal Association","2004","","","","","","","","","","","","","","","","","","","","72917.43","","72917.43","","","","39391.37","","39391.37","","","","","112308.8","","112308.8","112308.8","","112308.8"
"6420","Ahuntsic Federal Liberal Association","2005","38167.12","","38167.12","","10313.8","","10313.8","","","","","","","","","48480.92","","48480.92","","","","","","","","20975","","20975","","","","","20975","","20975","69455.92","","69455.92"
